epoch,DE,E,I,loss,mse_odd_even_sol,val_DE,val_E,val_I,val_loss,val_mse_odd_even_sol
188,79.84036254882812,"""[38.668808]""","""[0.14133647]""",160.01058959960938,0.4476926028728485,NA,NA,NA,NA,NA
189,78.28388214111328,"""[39.004147]""","""[0.14217684]""",40.77016830444336,0.441889226436615,NA,NA,NA,NA,NA
190,76.81404113769531,"""[39.307034]""","""[0.1429938]""",44.49736022949219,0.4365200400352478,NA,NA,NA,NA,NA
191,75.7226333618164,"""[39.528187]""","""[0.14379035]""",129.17884826660156,0.43226683139801025,NA,NA,NA,NA,NA
192,73.79158020019531,"""[39.8858]""","""[0.14461857]""",42.68017578125,0.42603161931037903,NA,NA,NA,NA,NA
193,71.9697494506836,"""[40.207535]""","""[0.14547727]""",133.49911499023438,0.42018193006515503,NA,NA,NA,NA,NA
194,69.58897399902344,"""[40.60271]""","""[0.14621182]""",49.109771728515625,0.41341063380241394,NA,NA,NA,NA,NA
195,67.3641586303711,"""[40.952106]""","""[0.14704432]""",147.920654296875,0.4070248305797577,NA,NA,NA,NA,NA
196,66.34821319580078,"""[41.107548]""","""[0.14803816]""",78.71469116210938,0.40313035249710083,NA,NA,NA,NA,NA
197,65.9566421508789,"""[41.168896]""","""[0.14899524]""",51.618289947509766,0.4006703495979309,NA,NA,NA,NA,NA
198,65.84264373779297,"""[41.18898]""","""[0.14992492]""",54.99246597290039,0.3988698124885559,NA,NA,NA,NA,NA
199,66.03547668457031,"""[41.165928]""","""[0.15079844]""",110.33262634277344,0.39781856536865234,NA,NA,NA,NA,NA
200,65.5545425415039,"""[41.23572]""","""[0.15150146]""",168.17991638183594,0.39563214778900146,NA,NA,NA,NA,NA
201,65.99243927001953,"""[41.179703]""","""[0.15223305]""",165.828125,0.3953278660774231,NA,NA,NA,NA,NA
202,67.30746459960938,"""[41.00277]""","""[0.15302494]""",297.3995056152344,0.39678123593330383,NA,NA,NA,NA,NA
203,69.84955596923828,"""[40.649082]""","""[0.15398966]""",76.720458984375,0.4006260931491852,NA,NA,NA,NA,NA
204,72.90560913085938,"""[40.21106]""","""[0.1550702]""",55.57390594482422,0.40553349256515503,NA,NA,NA,NA,NA
205,76.28553771972656,"""[39.712505]""","""[0.1562807]""",49.372474670410156,0.4111468493938446,NA,NA,NA,NA,NA
206,79.8616714477539,"""[39.170536]""","""[0.15764944]""",58.871307373046875,0.4172070324420929,NA,NA,NA,NA,NA
207,82.80792236328125,"""[38.72086]""","""[0.1590818]""",245.52133178710938,0.4218829870223999,NA,NA,NA,NA,NA
208,84.0303726196289,"""[38.554375]""","""[0.1604014]""",48.85435485839844,0.42258548736572266,NA,NA,NA,NA,NA
209,84.82022094726562,"""[38.458595]""","""[0.1616346]""",68.1700210571289,0.42238521575927734,NA,NA,NA,NA,NA
210,84.95406341552734,"""[38.470028]""","""[0.16278064]""",218.11676025390625,0.42071548104286194,NA,NA,NA,NA,NA
211,83.77556610107422,"""[38.691822]""","""[0.16378264]""",440.7210693359375,0.41606956720352173,NA,NA,NA,NA,NA
212,80.55258178710938,"""[39.220284]""","""[0.1649881]""",58.23619079589844,0.40643879771232605,NA,NA,NA,NA,NA
213,77.2967300415039,"""[39.719017]""","""[0.16627079]""",61.0200309753418,0.39701515436172485,NA,NA,NA,NA,NA
214,74.0704345703125,"""[40.180317]""","""[0.16765162]""",41.17352294921875,0.38787150382995605,NA,NA,NA,NA,NA
215,71.38050079345703,"""[40.541195]""","""[0.16911037]""",48.122501373291016,0.3800395131111145,NA,NA,NA,NA,NA
216,69.33784484863281,"""[40.79952]""","""[0.17060174]""",59.94136047363281,0.37368348240852356,NA,NA,NA,NA,NA
217,67.25172424316406,"""[41.047707]""","""[0.17201185]""",365.14678955078125,0.3674876093864441,NA,NA,NA,NA,NA
218,66.77635192871094,"""[41.100285]""","""[0.17353852]""",141.1739959716797,0.3643814027309418,NA,NA,NA,NA,NA
219,67.09327697753906,"""[41.059845]""","""[0.17517027]""",109.48834991455078,0.36273232102394104,NA,NA,NA,NA,NA
220,68.0680160522461,"""[40.94704]""","""[0.17672496]""",138.8778839111328,0.36248067021369934,NA,NA,NA,NA,NA
